target,block,model,score_mean_base,score_mean_tuned,d_score,permuted_score_base,permuted_score_tuned,d_permuted,gap_vs_permuted_base,gap_vs_permuted_tuned,d_gap,verdict
tox_liver_toxicity,morphology,elastic_net,0.4764242424242424,0.4792121212121212,0.0027878787878787836,0.482969696969697,0.4732727272727273,-0.009696969696969704,-0.0065454545454545,0.0059393939393939,0.0124848484848484,unchanged
tox_infertility,morphology,xgboost,0.4643333333333333,0.4531111111111111,-0.011222222222222245,0.5197222222222222,0.4961666666666666,-0.023555555555555607,-0.0553888888888888,-0.0430555555555555,0.0123333333333333,unchanged
moa-fine,morphology+ecfp,elastic_net,0.7593333333333334,0.7653333333333333,0.005999999999999894,0.4533333333333333,0.4473333333333333,-0.006000000000000005,0.3060000000000001,0.318,0.0119999999999999,unchanged
tox_liver_toxicity,morphology+expression,linear_svm,0.6818484848484849,0.6836666666666668,0.0018181818181818299,0.4916060606060606,0.4826969696969697,-0.008909090909090922,0.1902424242424243,0.200969696969697,0.010727272727272696,unchanged
tox_renal_toxicity,expression,linear_svm,0.6202222222222222,0.6317222222222223,0.011500000000000066,0.5013888888888889,0.5022222222222222,0.0008333333333333526,0.1188333333333333,0.1295,0.0106666666666667,unchanged
moa-fine,morphology,sparse_plsda,0.6926666666666665,0.6919999999999998,-0.0006666666666667043,0.4933333333333333,0.482,-0.011333333333333306,0.1993333333333332,0.2099999999999998,0.010666666666666602,unchanged
tox_pulmonary_toxicity,morphology,xgboost,0.5162222222222222,0.4953333333333333,-0.020888888888888957,0.5016666666666666,0.4701666666666667,-0.03149999999999992,0.0145555555555556,0.0251666666666666,0.010611111111111002,unchanged
tox_pulmonary_toxicity,morphology+expression,linear_svm,0.4836666666666667,0.4765555555555555,-0.007111111111111179,0.4876666666666666,0.4699444444444444,-0.017722222222222195,-0.0039999999999998,0.0066111111111111,0.0106111111111109,unchanged
tox_renal_toxicity,morphology+ecfp,sparse_plsda,0.6367222222222223,0.6238333333333334,-0.01288888888888895,0.5294444444444444,0.5062777777777778,-0.023166666666666558,0.1072777777777779,0.1175555555555555,0.010277777777777594,unchanged
tox_cardiotoxicity,expression,linear_svm,0.5526190476190476,0.569047619047619,0.01642857142857146,0.5208333333333334,0.5286904761904762,0.007857142857142785,0.0317857142857141,0.0403571428571428,0.008571428571428702,unchanged
tox_renal_toxicity,ecfp,linear_svm,0.6100555555555556,0.6200555555555556,0.010000000000000009,0.5943333333333334,0.5983333333333333,0.0039999999999998925,0.0157222222222221,0.0217222222222223,0.0060000000000002,unchanged
tox_renal_toxicity,morphology,sparse_plsda,0.3937777777777778,0.4005555555555555,0.006777777777777716,0.4600555555555555,0.4608333333333332,0.0007777777777777106,-0.0662777777777777,-0.0602777777777777,0.005999999999999998,unchanged
tox_renal_toxicity,morphology,elastic_net,0.4644444444444444,0.459111111111111,-0.005333333333333357,0.4623888888888889,0.4513888888888888,-0.01100000000000012,0.0020555555555554,0.0077222222222222,0.0056666666666668,unchanged
tox_infertility,morphology+expression,linear_svm,0.3739444444444444,0.3867222222222222,0.012777777777777777,0.3747222222222222,0.3818888888888889,0.00716666666666671,-0.0007777777777777,0.0048333333333333,0.005611111111111,unchanged
moa-fine,morphology+expression,elastic_net,0.7060000000000001,0.7266666666666667,0.02066666666666661,0.4393333333333333,0.4546666666666666,0.01533333333333331,0.2666666666666668,0.2720000000000001,0.005333333333333301,unchanged
tox_pulmonary_toxicity,ecfp,sparse_plsda,0.5801666666666666,0.5603888888888889,-0.019777777777777672,0.5260555555555555,0.5026666666666666,-0.023388888888888903,0.0541111111111111,0.0577222222222223,0.003611111111111197,unchanged
tox_liver_toxicity,morphology+expression,sparse_plsda,0.5895757575757574,0.6053939393939394,0.015818181818181953,0.5238787878787879,0.5361818181818182,0.01230303030303026,0.0656969696969694,0.0692121212121211,0.0035151515151516932,unchanged
tox_cardiotoxicity,expression,elastic_net,0.5232142857142857,0.5203571428571427,-0.0028571428571430024,0.55,0.5446428571428572,-0.005357142857142838,-0.0267857142857143,-0.0242857142857144,0.0024999999999999016,unchanged
tox_infertility,expression,sparse_plsda,0.4887777777777777,0.4853888888888888,-0.0033888888888888857,0.4748888888888888,0.4694444444444444,-0.0054444444444444184,0.0138888888888888,0.0159444444444444,0.0020555555555556004,unchanged
tox_infertility,morphology,sparse_plsda,0.4509999999999999,0.4468333333333333,-0.004166666666666596,0.4392777777777777,0.4353888888888888,-0.003888888888888886,0.0117222222222221,0.0114444444444444,-0.00027777777777769977,unchanged
tox_infertility,morphology,elastic_net,0.4686111111111111,0.4647222222222222,-0.003888888888888886,0.4902777777777778,0.4874444444444444,-0.00283333333333341,-0.0216666666666667,-0.0227222222222222,-0.0010555555555555006,unchanged
tox_cardiotoxicity,ecfp,elastic_net,0.518095238095238,0.5233333333333333,0.005238095238095264,0.4322619047619047,0.439642857142857,0.007380952380952321,0.0858333333333333,0.0836904761904763,-0.002142857142857002,unchanged
