gene,highly_variable
NLK,True
PIGS,False
ADAMTS2,True
TMPRSS11E,False
ATXN7L3,False
PGS1,False
PSMC5,True
UIMC1,False
CETP,True
MMP2,False
MT3,False
LPCAT2,False
GNAO1,False
OGFOD1,False
SH3BP2,False
NOP14,False
ADD1,False
L2HGDH,False
TXNDC16,True
RTRAF,False
NID2,False
GMCL1,False
SF3B2,False
KLHL42,False
GNAS,False
DNM1L,False
PTHLH,True
PHACTR3,False
ERGIC2,False
TFAP2C,False
AURKA,True
CASS4,True
PIR,True
AAMDC,False
RFX2,True
METTL2A,False
SULT2B1,False
ALG6,False
CNOT3,False
GP6,False
PTPN4,False
DDX18,False
KHSRP,False
GNA11,False
ASAP3,False
EDEM2,False
DNMT3B,False
REM1,False
TPX2,True
FER1L4,True
